""	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000250422.1	-0.218097247461081	-0.375564748545511	-1.08855148725261	0.282190529985753	0.999993131445251	-4.5881223467111
ENSG00000263924.1	-0.256746672851892	-2.43052115311599	-1.08845767359292	0.282231470985558	0.999993131445251	-4.58898129712448
ENSG00000283913.1	-0.203895392718579	-0.785669888016698	-1.08843501962249	0.282241357975959	0.999993131445251	-4.5877315286982
ENSG00000133302.13	-0.147547556138757	2.65003255482891	-1.0883783085922	0.282266109731257	0.999993131445251	-4.61555409837813
ENSG00000259498.1	0.144390893695327	-0.00149868048772685	1.08817926568138	0.282352994846027	0.999993131445251	-4.58916900872878
ENSG00000240184.7	-0.161921684556528	4.04880539640786	-1.08789459601761	0.282477289855354	0.999993131445251	-4.62177968670994
ENSG00000107669.19	-0.119745441863095	4.39456185431702	-1.08789124052003	0.282478755191308	0.999993131445251	-4.62131702188243
ENSG00000157881.16	0.117027047803628	2.10979076827314	1.08774578411848	0.282542280696476	0.999993131445251	-4.60951360450967
ENSG00000182636.8	0.211387127845644	1.6924258675378	1.08752981346453	0.282636620519771	0.999993131445251	-4.60414383603973
ENSG00000260714.1	0.413134139486357	-3.29045844215677	1.08752477418688	0.2826388220294	0.999993131445251	-4.5898749897743
ENSG00000125870.11	-0.181652283819589	1.72564406849817	-1.0874500225059	0.282671480213473	0.999993131445251	-4.60460915872293
ENSG00000188761.13	-0.266791899674028	-1.13735422920777	-1.08738867489648	0.282698284282232	0.999993131445251	-4.58789959667362
ENSG00000198843.14	-0.152932142054276	4.08317469140906	-1.08737719141394	0.282703301856653	0.999993131445251	-4.62199548209558
ENSG00000249679.3	0.185576194880987	-0.477186502729591	1.08737020012921	0.282706356647936	0.999993131445251	-4.58819828656229
ENSG00000254398.1	0.380821654331164	-1.58860306176545	1.08732186828396	0.282727475530748	0.999993131445251	-4.58819441484314
ENSG00000196967.11	0.0917735063173719	2.5997119392655	1.08721453917553	0.28277437756637	0.999993131445251	-4.61553817091657
ENSG00000206503.14	-0.185088781635073	3.40222041595627	-1.08712656663146	0.282812824990349	0.999993131445251	-4.621305803605
ENSG00000105983.23	-0.119106810120273	4.11670556552926	-1.08706981212571	0.282837630860805	0.999993131445251	-4.62210741863297
ENSG00000279113.1	0.29918541329275	-2.28806142814066	1.08706223700642	0.282840941857346	0.999993131445251	-4.58896510773175
ENSG00000182134.17	0.107809965372873	1.86071704145255	1.08704451724168	0.282848687066486	0.999993131445251	-4.60653808515703
ENSG00000162877.13	0.449358374808201	-0.845548766387563	1.08696633895885	0.282882860126678	0.999993131445251	-4.5879647951761
ENSG00000261526.3	-0.257112545701447	-1.32209824823958	-1.08689708137209	0.282913136214829	0.999993131445251	-4.58805538278192
ENSG00000204967.13	-0.152557530402825	0.825424781678322	-1.0868743342361	0.282923080664621	0.999993131445251	-4.59456085299472
ENSG00000214160.10	-0.112206566049552	0.913054405944084	-1.08672865315784	0.282986774408233	0.999993131445251	-4.59540489729412
ENSG00000058729.11	-0.120827886806165	1.45442373775172	-1.08672788700391	0.282987109407676	0.999993131445251	-4.60139457853751
ENSG00000276680.1	0.414834905787596	-3.55929907247693	1.08664277235089	0.283024327368146	0.999993131445251	-4.59015260283996
ENSG00000180535.4	-0.300293078740941	-1.53776997319052	-1.08647348906535	0.283098359815594	0.999993131445251	-4.58826351063867
ENSG00000099942.13	-0.107495877145578	4.82155366920753	-1.0864020825155	0.283129592020098	0.999993131445251	-4.62084306743173
ENSG00000272563.1	-0.483616432977406	-3.33186441081216	-1.08628668206618	0.283180071629467	0.999993131445251	-4.5900066690224
ENSG00000235173.7	0.131527633128795	1.00682864495639	1.08622692291414	0.283206214547888	0.999993131445251	-4.59648068491701
ENSG00000205356.10	0.115555819155176	3.1403312609716	1.08622246482604	0.283208164901574	0.999993131445251	-4.62048774761103
ENSG00000225764.3	0.334525510833202	-1.39594685729237	1.08621216917043	0.28321266914862	0.999993131445251	-4.58819717802796
ENSG00000287132.1	-0.242618624346966	0.342574855354035	-1.08613971120961	0.283244370205766	0.999993131445251	-4.59125558759419
ENSG00000232163.2	-0.358932910779722	-2.78464410545001	-1.08605806421915	0.283280094529972	0.999993131445251	-4.58955785143742
ENSG00000136122.18	-0.132728351880181	0.566244987214035	-1.0856894356166	0.283441425832224	0.999993131445251	-4.59282512141614
ENSG00000162413.17	0.13118146959896	3.50642767677655	1.0856865887956	0.283442672001418	0.999993131445251	-4.62228722256896
ENSG00000163157.15	0.380136631167205	-3.0082243684788	1.0855997283948	0.283480696171735	0.999993131445251	-4.58979498380716
ENSG00000246422.2	0.238895805570743	-1.17615379357724	1.08558722267379	0.283486170993515	0.999993131445251	-4.58818652736247
ENSG00000268401.2	-0.170518114467217	0.39534573211844	-1.08536059486438	0.283585398162593	0.999993131445251	-4.59177229653265
ENSG00000200502.1	0.317271963553132	-1.67853153271302	1.08519938912212	0.283655995603738	0.999993131445251	-4.5885465560925
ENSG00000089505.18	-0.198802949253635	-1.03418259258764	-1.08514405755874	0.283680230001046	0.999993131445251	-4.58823592399522
ENSG00000182208.15	0.125004057594318	1.68665284980543	1.08512650801317	0.283687916742337	0.999993131445251	-4.60497231195356
ENSG00000204860.5	0.259090237476698	0.25203196759109	1.08492729119509	0.28377518438931	0.999993131445251	-4.59106725375333
ENSG00000196505.11	-0.0727481993387502	3.83617668249622	-1.0848584469561	0.283805346225741	0.999993131445251	-4.62318881006755
ENSG00000112584.14	0.0945358148002979	4.24099109332311	1.08420297868353	0.284092630466023	0.999993131445251	-4.62327774095672
ENSG00000146587.18	-0.0927161931053662	2.60721194854377	-1.0840320222918	0.284167592145984	0.999993131445251	-4.61699744223876
ENSG00000167912.8	-0.143528454574033	1.03514364410144	-1.08400949472154	0.284177471162087	0.999993131445251	-4.59748035413808
ENSG00000137522.18	0.0981782601673777	1.41134285266072	1.08398671622096	0.28418746046303	0.999993131445251	-4.6018288171679
ENSG00000111671.10	-0.163949067215435	0.0667719670147675	-1.08395801431834	0.284200047767065	0.999993131445251	-4.59042330268649
ENSG00000143476.18	0.364649541161628	-3.43783102561503	1.0836417125965	0.284338788659474	0.999993131445251	-4.59029255580441
ENSG00000153266.13	-0.183449645852674	1.51030696427552	-1.08332075024347	0.284479622300371	0.999993131445251	-4.60332860223222
